,Participant,Block_num,X,Z,Target_Name
11621,BNC06,2,0.0,-4.1,Bank
11713,BNC06,2,-0.1010884,0.08966798,Bank
11789,BNC06,2,-0.284504,3.804026,Bank
11881,BNC06,2,-0.4126709,7.382091,Bank
12045,BNC06,2,-0.4068961,10.93812,Bank
12160,BNC06,2,-0.4951974,14.23933,Bank
12197,BNC06,2,-0.4960813,17.84151,Bank
12240,BNC06,2,-0.415121,21.70943,Bank
12290,BNC06,2,-0.2926801,25.62376,Bank
12333,BNC06,2,-0.07575987,29.51782,Bank
12450,BNC06,2,0.09673403,33.43369,Bank
12751,BNC06,2,0.09772479,36.81078,Bank
12788,BNC06,2,4.198014,38.69854,Bank
12831,BNC06,2,8.315681,40.48787,Bank
12879,BNC06,2,12.72974,41.71852,Bank
12923,BNC06,2,17.14334,42.42145,Bank
12966,BNC06,2,21.57182,42.94872,Bank
13013,BNC06,2,26.03166,43.57711,Bank
13148,BNC06,2,30.29645,44.68861,Bank
13390,BNC06,2,30.21331,49.81562,Bank
13429,BNC06,2,30.41439,45.82598,Bank
13480,BNC06,2,31.16563,42.12003,Bank
13519,BNC06,2,32.19087,38.68057,Bank
13565,BNC06,2,33.23029,35.36486,Bank
13721,BNC06,2,34.48495,32.2759,Bank
13777,BNC06,2,33.75782,26.66195,Bank
14190,BNC06,2,33.26954,21.29795,Bank
9941,BNC10,2,0.0,-4.1,Bank
9997,BNC10,2,0.6501644,0.300751,Bank
10039,BNC10,2,1.144935,4.476223,Bank
10667,BNC10,2,1.231635,8.180169,Bank
10708,BNC10,2,5.682428,8.86459,Bank
10746,BNC10,2,10.51748,9.531322,Bank
10787,BNC10,2,15.4127,10.00551,Bank
10826,BNC10,2,20.53234,10.50542,Bank
10860,BNC10,2,25.70109,11.09451,Bank
11074,BNC10,2,30.93757,11.8071,Bank
11126,BNC10,2,35.83578,12.22513,Bank
11167,BNC10,2,40.88464,12.83174,Bank
11408,BNC10,2,45.88153,13.36369,Bank
11564,BNC10,2,50.47705,14.17527,Bank
11898,BNC10,2,54.83897,15.3394,Bank
11993,BNC10,2,58.48991,13.1558,Bank
12046,BNC10,2,61.20972,9.763268,Bank
12171,BNC10,2,63.22734,6.092902,Bank
12644,BNC10,2,63.59146,1.267407,Bank
12739,BNC10,2,62.49975,6.659499,Bank
12944,BNC10,2,62.069,12.00445,Bank
13201,BNC10,2,62.87373,17.3413,Bank
13275,BNC10,2,63.35336,22.89165,Bank
13388,BNC10,2,63.64488,28.31909,Bank
13632,BNC10,2,63.87298,33.83597,Bank
13684,BNC10,2,64.26071,38.80146,Bank
13709,BNC10,2,64.84962,43.98852,Bank
13873,BNC10,2,65.43949,48.94488,Bank
14200,BNC10,2,66.37408,54.06077,Bank
14246,BNC10,2,66.32916,49.04429,Bank
14300,BNC10,2,66.34198,43.85466,Bank
14375,BNC10,2,66.78534,38.64131,Bank
14416,BNC10,2,67.44998,33.382,Bank
14467,BNC10,2,68.05039,28.58023,Bank
14605,BNC10,2,69.002,23.42801,Bank
15506,BNC10,2,68.79395,18.37036,Bank
15565,BNC10,2,68.62444,12.77374,Bank
15606,BNC10,2,68.46731,7.360295,Bank
15662,BNC10,2,68.45736,1.987291,Bank
15996,BNC10,2,68.524,-3.133903,Bank
16126,BNC10,2,69.13172,-7.756968,Bank
16150,BNC10,2,63.84286,-9.299343,Bank
16277,BNC10,2,58.72233,-10.36048,Bank
16325,BNC10,2,53.21655,-11.79959,Bank
16368,BNC10,2,47.83069,-13.16487,Bank
16466,BNC10,2,42.36424,-14.5687,Bank
16674,BNC10,2,36.68225,-15.92527,Bank
16857,BNC10,2,31.72728,-18.08422,Bank
16925,BNC10,2,26.74898,-19.56411,Bank
17015,BNC10,2,21.42417,-20.58352,Bank
17070,BNC10,2,15.67854,-21.14274,Bank
17122,BNC10,2,10.09436,-20.90822,Bank
17673,BNC10,2,4.722771,-20.56233,Bank
17754,BNC10,2,-0.5237767,-20.61488,Bank
17796,BNC10,2,-5.967914,-20.37751,Bank
17852,BNC10,2,-11.43799,-20.23284,Bank
17888,BNC10,2,-17.02118,-20.07787,Bank
17957,BNC10,2,-22.62078,-20.12127,Bank
18116,BNC10,2,-28.08338,-19.79352,Bank
18716,BNC10,2,-33.12447,-19.64794,Bank
18736,BNC10,2,-38.4863,-19.74145,Bank
18757,BNC10,2,-44.22278,-19.50616,Bank
18794,BNC10,2,-50.05867,-19.1721,Bank
18994,BNC10,2,-55.88944,-19.07772,Bank
19114,BNC10,2,-59.36781,-16.22416,Bank
19392,BNC10,2,-62.27781,-12.14988,Bank
19547,BNC10,2,-64.41749,-7.748338,Bank
19648,BNC10,2,-66.27499,-2.92702,Bank
19826,BNC10,2,-68.04355,1.906019,Bank
19883,BNC10,2,-69.4455,6.843958,Bank
19922,BNC10,2,-70.62078,12.06445,Bank
19995,BNC10,2,-71.6807,17.57795,Bank
20066,BNC10,2,-71.80458,23.14619,Bank
20117,BNC10,2,-71.44657,28.88673,Bank
20179,BNC10,2,-70.95691,34.82792,Bank
20365,BNC10,2,-70.64955,40.74067,Bank
20458,BNC10,2,-66.7143,43.48172,Bank
20615,BNC10,2,-61.81042,44.76099,Bank
21212,BNC10,2,-57.03786,46.90027,Bank
21279,BNC10,2,-51.30305,46.5843,Bank
21327,BNC10,2,-45.96116,46.77015,Bank
21616,BNC10,2,-40.86904,47.19708,Bank
21712,BNC10,2,-39.07665,43.07817,Bank
21845,BNC10,2,-37.2543,38.75961,Bank
21969,BNC10,2,-36.15786,34.07064,Bank
22063,BNC10,2,-34.83092,29.53179,Bank
22085,BNC10,2,-33.54994,24.86719,Bank
22350,BNC10,2,-32.36538,20.3289,Bank
22624,BNC10,2,-27.39819,18.31838,Bank
22879,BNC10,2,-32.01356,17.05515,Bank
22905,BNC10,2,-27.67155,15.13447,Bank
22930,BNC10,2,-22.49824,13.98039,Bank
22998,BNC10,2,-17.64476,13.14083,Bank
23103,BNC10,2,-13.15886,13.03952,Bank
23167,BNC10,2,-9.741452,12.14797,Bank
23530,BNC10,2,-5.839929,11.25149,Bank
23761,BNC10,2,-4.00856,7.699702,Bank
23830,BNC10,2,-2.660955,3.874273,Bank
24105,BNC10,2,-1.075419,-0.01096825,Bank
24152,BNC10,2,-0.5707205,-3.237514,Bank
24199,BNC10,2,-0.1329607,-6.750783,Bank
24252,BNC10,2,0.4981534,-10.12921,Bank
24958,BNC10,2,1.160252,-13.56075,Bank
25060,BNC10,2,-3.236,-14.65363,Bank
25268,BNC10,2,-8.063219,-15.54634,Bank
25347,BNC10,2,-12.617,-16.95769,Bank
25410,BNC10,2,-16.73431,-17.00094,Bank
25577,BNC10,2,-21.56577,-17.02516,Bank
25681,BNC10,2,-26.21832,-16.62816,Bank
25808,BNC10,2,-30.91566,-16.54478,Bank
26111,BNC10,2,-31.43981,-21.72535,Bank
26181,BNC10,2,-31.0836,-27.14821,Bank
26200,BNC10,2,-31.25875,-32.6465,Bank
26266,BNC10,2,-31.13119,-37.78836,Bank
26427,BNC10,2,-30.74046,-42.75447,Bank
26538,BNC10,2,-28.94441,-47.83452,Bank
26602,BNC10,2,-25.36614,-52.25574,Bank
26653,BNC10,2,-20.88629,-55.32022,Bank
26721,BNC10,2,-16.12868,-58.08932,Bank
26789,BNC10,2,-10.67221,-59.0378,Bank
26807,BNC10,2,-5.194473,-58.56955,Bank
27219,BNC10,2,0.2522425,-58.13811,Bank
27299,BNC10,2,4.835215,-58.62125,Bank
27317,BNC10,2,9.531816,-58.30071,Bank
27403,BNC10,2,14.17658,-57.89129,Bank
27523,BNC10,2,18.74411,-57.49805,Bank
27796,BNC10,2,23.07699,-57.58267,Bank
27898,BNC10,2,24.59651,-54.2699,Bank
28043,BNC10,2,26.36616,-50.35273,Bank
28178,BNC10,2,27.87722,-46.11115,Bank
28274,BNC10,2,28.45749,-41.71238,Bank
28328,BNC10,2,28.92245,-37.12014,Bank
28380,BNC10,2,29.22923,-32.42269,Bank
28488,BNC10,2,29.52724,-27.72123,Bank
28634,BNC10,2,29.56384,-23.22427,Bank
28721,BNC10,2,33.75403,-21.35916,Bank
28795,BNC10,2,38.17237,-19.43139,Bank
28858,BNC10,2,42.5587,-17.50584,Bank
28906,BNC10,2,46.91039,-15.59858,Bank
28949,BNC10,2,51.66599,-13.64959,Bank
28997,BNC10,2,56.5947,-11.98206,Bank
29068,BNC10,2,61.63448,-10.46794,Bank
29120,BNC10,2,65.78985,-6.205191,Bank
29281,BNC10,2,66.37873,-0.3362923,Bank
29448,BNC10,2,65.75568,5.268653,Bank
29519,BNC10,2,65.47451,10.7514,Bank
29556,BNC10,2,65.909,16.30136,Bank
29685,BNC10,2,66.41988,21.71665,Bank
29733,BNC10,2,67.26176,26.67618,Bank
29770,BNC10,2,68.14337,31.15579,Bank
29868,BNC10,2,69.42359,35.84657,Bank
29894,BNC10,2,63.55216,38.03535,Bank
29952,BNC10,2,57.59285,39.57205,Bank
29995,BNC10,2,51.24607,40.49808,Bank
30202,BNC10,2,44.98561,41.19691,Bank
30244,BNC10,2,38.84371,42.09439,Bank
30307,BNC10,2,39.0437,41.7089,Bank
30352,BNC10,2,39.22756,41.26893,Bank
30433,BNC10,2,39.37543,40.78127,Bank
30490,BNC10,2,39.54826,40.31702,Bank
30550,BNC10,2,39.74107,39.88305,Bank
30623,BNC10,2,39.93514,39.45531,Bank
30693,BNC10,2,40.12364,39.03979,Bank
30755,BNC10,2,40.31128,38.62756,Bank
30828,BNC10,2,33.82549,39.1048,Bank
30885,BNC10,2,27.20151,39.7586,Bank
30934,BNC10,2,20.54141,40.72239,Bank
30969,BNC10,2,13.91493,41.48336,Bank
31713,BNC10,2,7.435655,41.83883,Bank
31780,BNC10,2,3.042675,39.87777,Bank
32072,BNC10,2,-1.506147,40.41531,Bank
32120,BNC10,2,-6.886005,40.03428,Bank
32166,BNC10,2,-12.25895,39.93824,Bank
32214,BNC10,2,-17.51442,39.53225,Bank
32429,BNC10,2,-23.15529,39.10601,Bank
32662,BNC10,2,-27.48483,38.5233,Bank
32967,BNC10,2,-31.94382,38.16154,Bank
33043,BNC10,2,-36.86353,39.45201,Bank
33159,BNC10,2,-41.45573,41.53618,Bank
33254,BNC10,2,-46.79589,42.46202,Bank
33309,BNC10,2,-52.22537,42.96575,Bank
33436,BNC10,2,-57.97289,43.72532,Bank
33665,BNC10,2,-63.20745,44.69846,Bank
33732,BNC10,2,-64.6118,49.40543,Bank
33861,BNC10,2,-65.75929,54.44135,Bank
34225,BNC10,2,-66.47848,59.30752,Bank
34273,BNC10,2,-68.17616,54.41736,Bank
34322,BNC10,2,-69.26588,49.09142,Bank
34368,BNC10,2,-70.28497,43.16494,Bank
34428,BNC10,2,-70.77455,37.28313,Bank
34497,BNC10,2,-70.67046,32.03497,Bank
34569,BNC10,2,-70.72621,26.60339,Bank
34833,BNC10,2,-70.19303,21.34679,Bank
35002,BNC10,2,-71.14642,16.64598,Bank
35075,BNC10,2,-71.82371,11.65456,Bank
35225,BNC10,2,-71.67876,6.832148,Bank
35348,BNC10,2,-70.50526,2.35197,Bank
35415,BNC10,2,-69.11688,-2.126798,Bank
35466,BNC10,2,-67.51984,-6.461605,Bank
35531,BNC10,2,-65.3651,-10.5148,Bank
35753,BNC10,2,-62.21944,-14.44548,Bank
35861,BNC10,2,-57.29702,-14.96772,Bank
35936,BNC10,2,-52.33523,-15.53757,Bank
35996,BNC10,2,-47.2801,-16.06157,Bank
36054,BNC10,2,-42.36705,-16.36147,Bank
36221,BNC10,2,-37.42086,-16.40827,Bank
36328,BNC10,2,-32.13955,-16.72737,Bank
36387,BNC10,2,-26.81728,-17.0099,Bank
36499,BNC10,2,-21.7423,-16.86586,Bank
36601,BNC10,2,-16.90293,-16.68588,Bank
36698,BNC10,2,-11.87593,-16.43416,Bank
36844,BNC10,2,-7.249265,-15.85702,Bank
37881,BNC10,2,-2.58088,-15.3177,Bank
37920,BNC10,2,-1.990988,-10.14916,Bank
37973,BNC10,2,-1.412128,-4.563104,Bank
38029,BNC10,2,-0.9542134,1.074019,Bank
38095,BNC10,2,-0.6956945,6.590364,Bank
38586,BNC10,2,-0.5975805,12.01995,Bank
38676,BNC10,2,-0.4434919,16.96076,Bank
38746,BNC10,2,-0.1823184,22.25173,Bank
38840,BNC10,2,0.1652993,27.88003,Bank
38959,BNC10,2,0.6823366,33.32484,Bank
39504,BNC10,2,1.862995,37.74747,Bank
39847,BNC10,2,0.9122505,42.03559,Bank
39908,BNC10,2,0.7644632,46.78739,Bank
39953,BNC10,2,0.4276229,51.64832,Bank
40092,BNC10,2,0.2093382,56.39768,Bank
40143,BNC10,2,0.4269076,61.22336,Bank
40194,BNC10,2,0.4832543,65.76581,Bank
40328,BNC10,2,0.3940115,70.26341,Bank
41127,BNC10,2,4.260091,72.85701,Bank
41325,BNC10,2,7.895009,73.26685,Bank
41372,BNC10,2,12.00088,73.32113,Bank
41428,BNC10,2,15.87852,73.93812,Bank
41488,BNC10,2,19.65099,74.73082,Bank
41633,BNC10,2,22.93559,75.48229,Bank
41909,BNC10,2,25.47754,75.79407,Bank
41982,BNC10,2,26.11322,69.74812,Bank
42067,BNC10,2,26.59905,63.67311,Bank
43260,BNC10,2,26.89657,61.60884,Bank
43307,BNC10,2,28.84115,57.55844,Bank
43353,BNC10,2,30.42361,53.35188,Bank
43509,BNC10,2,31.80828,49.43849,Bank
43564,BNC10,2,32.72566,46.48536,Bank
43842,BNC10,2,33.86859,44.05532,Bank
43870,BNC10,2,35.83648,42.06775,Bank
44014,BNC10,2,37.88053,40.35819,Bank
44118,BNC10,2,41.99142,40.85738,Bank
44187,BNC10,2,46.44253,41.39367,Bank
44210,BNC10,2,50.7533,41.84077,Bank
44278,BNC10,2,55.14743,42.2605,Bank
44376,BNC10,2,59.3438,42.78854,Bank
44434,BNC10,2,61.56495,38.30869,Bank
44475,BNC10,2,63.39803,33.09433,Bank
44648,BNC10,2,65.01842,27.62467,Bank
44721,BNC10,2,66.68982,22.89361,Bank
44932,BNC10,2,68.96234,17.98199,Bank
45084,BNC10,2,70.87918,14.38672,Bank
45182,BNC10,2,65.28844,14.57843,Bank
45231,BNC10,2,59.6546,14.05656,Bank
45293,BNC10,2,53.92352,13.76142,Bank
45348,BNC10,2,48.26603,13.56734,Bank
45405,BNC10,2,42.47045,12.96549,Bank
45695,BNC10,2,36.8007,12.07214,Bank
45772,BNC10,2,34.95266,17.26001,Bank
16068,BNC13,2,0.0,-4.1,Bank
16231,BNC13,2,-0.176139,-1.690907,Bank
16331,BNC13,2,-0.2854889,1.492352,Bank
16658,BNC13,2,-0.5774022,4.616824,Bank
17697,BNC13,2,-0.9999363,6.963336,Bank
17781,BNC13,2,-3.300597,7.950197,Bank
17865,BNC13,2,-6.723958,8.75664,Bank
17953,BNC13,2,-11.16879,9.614542,Bank
18045,BNC13,2,-16.42587,10.33057,Bank
18132,BNC13,2,-21.86323,11.01885,Bank
18206,BNC13,2,-27.48865,11.38664,Bank
18325,BNC13,2,-33.31253,11.4691,Bank
18771,BNC13,2,-38.95402,11.34811,Bank
18892,BNC13,2,-42.88832,11.45279,Bank
18959,BNC13,2,-47.45717,10.19982,Bank
19062,BNC13,2,-51.97537,8.457482,Bank
19177,BNC13,2,-56.0922,6.271001,Bank
19362,BNC13,2,-60.51805,5.678273,Bank
19461,BNC13,2,-59.14629,8.746995,Bank
19517,BNC13,2,-55.03695,9.09112,Bank
19558,BNC13,2,-49.8865,9.64023,Bank
19608,BNC13,2,-44.49632,10.05989,Bank
19653,BNC13,2,-39.04525,10.23018,Bank
19701,BNC13,2,-33.214,10.4662,Bank
19738,BNC13,2,-27.40359,10.57033,Bank
19774,BNC13,2,-21.5012,10.7347,Bank
19810,BNC13,2,-15.68122,10.87758,Bank
19840,BNC13,2,-9.963212,11.31661,Bank
20603,BNC13,2,-4.017867,11.37043,Bank
20698,BNC13,2,-2.890496,14.9539,Bank
20788,BNC13,2,-1.800412,19.03226,Bank
20882,BNC13,2,-0.9056484,23.44911,Bank
21017,BNC13,2,-0.4988562,27.87916,Bank
21239,BNC13,2,-1.167508,32.13044,Bank
21428,BNC13,2,1.315652,34.82146,Bank
21549,BNC13,2,5.016532,37.20359,Bank
21639,BNC13,2,9.30407,37.48987,Bank
21738,BNC13,2,14.17425,37.45195,Bank
21830,BNC13,2,19.35458,37.71555,Bank
21984,BNC13,2,24.59274,38.07438,Bank
22150,BNC13,2,29.04468,36.88419,Bank
22261,BNC13,2,31.10216,33.95857,Bank
22471,BNC13,2,32.17625,29.44101,Bank
6346,BNC14,2,0.0,-4.1,Bank
6389,BNC14,2,-0.02258947,-1.656074,Bank
6419,BNC14,2,-0.06247056,0.8259257,Bank
6447,BNC14,2,-0.1378756,3.336347,Bank
6475,BNC14,2,-0.2562051,5.82721,Bank
7286,BNC14,2,-0.3286895,8.406775,Bank
7319,BNC14,2,0.01684745,10.4208,Bank
7350,BNC14,2,0.2844138,12.56343,Bank
7379,BNC14,2,0.5372866,14.79024,Bank
7410,BNC14,2,0.7165105,17.11675,Bank
7437,BNC14,2,0.8544184,19.54094,Bank
7463,BNC14,2,0.9145947,21.9964,Bank
7490,BNC14,2,0.8970358,24.46803,Bank
7519,BNC14,2,0.8097388,26.9653,Bank
7545,BNC14,2,0.6880473,29.39967,Bank
7653,BNC14,2,0.6261852,31.86366,Bank
7767,BNC14,2,0.5621499,34.18775,Bank
8102,BNC14,2,0.8405871,36.33775,Bank
8145,BNC14,2,1.705268,38.44035,Bank
8450,BNC14,2,1.920043,40.8297,Bank
8567,BNC14,2,1.842502,43.38601,Bank
8835,BNC14,2,1.834716,45.89974,Bank
8866,BNC14,2,-0.7089424,45.67392,Bank
8897,BNC14,2,-3.377491,45.49982,Bank
8926,BNC14,2,-5.99788,45.28097,Bank
8954,BNC14,2,-8.64011,45.04757,Bank
8984,BNC14,2,-11.21566,44.72659,Bank
9011,BNC14,2,-13.85039,44.44296,Bank
9038,BNC14,2,-16.49965,44.1967,Bank
9066,BNC14,2,-19.20112,44.02371,Bank
9095,BNC14,2,-21.96029,43.90951,Bank
9124,BNC14,2,-24.74246,43.87133,Bank
9147,BNC14,2,-27.55908,43.9895,Bank
9235,BNC14,2,-30.43704,44.18002,Bank
9323,BNC14,2,-33.38316,44.78086,Bank
9367,BNC14,2,-36.22616,45.51422,Bank
9397,BNC14,2,-38.96057,46.13935,Bank
9424,BNC14,2,-41.75017,46.71593,Bank
9455,BNC14,2,-44.61,47.33051,Bank
9483,BNC14,2,-47.46996,47.92019,Bank
9858,BNC14,2,-50.33485,48.45601,Bank
9908,BNC14,2,-52.58677,48.06266,Bank
9939,BNC14,2,-54.99063,47.81615,Bank
9968,BNC14,2,-57.53784,47.55208,Bank
9997,BNC14,2,-60.06244,47.28388,Bank
10122,BNC14,2,-62.69401,47.05897,Bank
10527,BNC14,2,-65.26041,47.25532,Bank
10571,BNC14,2,-66.38329,44.99387,Bank
10609,BNC14,2,-67.70874,42.45149,Bank
10640,BNC14,2,-68.98295,39.61227,Bank
10676,BNC14,2,-70.1703,36.61987,Bank
10733,BNC14,2,-71.14944,33.45756,Bank
10769,BNC14,2,-71.64267,30.09406,Bank
10825,BNC14,2,-71.87183,26.6785,Bank
10934,BNC14,2,-71.75011,23.18607,Bank
11047,BNC14,2,-71.38158,19.88871,Bank
11123,BNC14,2,-70.8936,16.54256,Bank
11271,BNC14,2,-70.50675,13.14898,Bank
11333,BNC14,2,-70.15524,9.983968,Bank
11366,BNC14,2,-69.8369,6.855299,Bank
11402,BNC14,2,-69.51155,3.691303,Bank
11434,BNC14,2,-69.19189,0.5184323,Bank
11465,BNC14,2,-68.87411,-2.621538,Bank
11495,BNC14,2,-68.4255,-5.718166,Bank
11526,BNC14,2,-67.92168,-8.804146,Bank
11644,BNC14,2,-67.45705,-11.88134,Bank
11778,BNC14,2,-66.7368,-14.88859,Bank
11863,BNC14,2,-64.02122,-15.44777,Bank
11924,BNC14,2,-61.16101,-16.21376,Bank
11958,BNC14,2,-58.22985,-16.89972,Bank
11994,BNC14,2,-55.27613,-17.58303,Bank
12156,BNC14,2,-52.2311,-18.32071,Bank
