,Participant,Block_num,X,Z,Target_Name
31829,BNC06,1,0.0,-4.1,High School
31880,BNC06,1,0.1912911,-0.4755585,High School
31997,BNC06,1,0.5690292,2.885539,High School
32130,BNC06,1,1.116261,6.288955,High School
32220,BNC06,1,6.910285,7.739368,High School
32261,BNC06,1,12.9677,9.064337,High School
32299,BNC06,1,19.20982,10.34609,High School
32336,BNC06,1,25.48139,11.52044,High School
32372,BNC06,1,31.83246,12.38397,High School
32409,BNC06,1,38.23929,13.05007,High School
32447,BNC06,1,44.67339,13.62438,High School
32486,BNC06,1,51.15974,14.07644,High School
32540,BNC06,1,57.61037,14.38422,High School
32742,BNC06,1,64.02025,14.69975,High School
32784,BNC06,1,64.95484,20.28744,High School
32825,BNC06,1,65.6943,25.87538,High School
32864,BNC06,1,66.80624,31.65203,High School
32906,BNC06,1,67.94175,37.48827,High School
32947,BNC06,1,68.83395,43.37381,High School
32997,BNC06,1,69.67613,49.21705,High School
33117,BNC06,1,70.05917,55.03511,High School
21245,BNC06,2,0.0,-4.1,High School
21281,BNC06,2,-0.05795243,0.1903016,High School
21318,BNC06,2,-0.02959758,4.432119,High School
21353,BNC06,2,-0.1051731,8.482862,High School
21499,BNC06,2,-0.2409568,12.14721,High School
21534,BNC06,2,4.834082,11.52833,High School
21568,BNC06,2,10.06595,10.95213,High School
21602,BNC06,2,15.24124,10.59953,High School
21637,BNC06,2,20.32919,10.38793,High School
21679,BNC06,2,25.27449,10.90644,High School
21719,BNC06,2,30.32183,11.28782,High School
21755,BNC06,2,35.45753,11.65468,High School
21797,BNC06,2,40.66169,12.10844,High School
21832,BNC06,2,45.9313,12.6197,High School
21877,BNC06,2,51.22573,13.1719,High School
21923,BNC06,2,56.54122,13.68347,High School
22049,BNC06,2,61.79744,14.29675,High School
22102,BNC06,2,63.58968,19.37149,High School
22140,BNC06,2,65.15413,24.33839,High School
22178,BNC06,2,66.49366,29.59253,High School
22208,BNC06,2,67.48592,35.04029,High School
22243,BNC06,2,68.3384,40.49454,High School
22278,BNC06,2,69.0272,46.05196,High School
22420,BNC06,2,69.54932,51.60815,High School
22552,BNC06,2,67.51465,57.77846,High School
15368,BNC06,3,0.0,-4.1,High School
15402,BNC06,3,0.3430789,-0.4099155,High School
15436,BNC06,3,0.397568,3.169439,High School
15576,BNC06,3,0.3471729,6.632503,High School
15612,BNC06,3,4.477597,7.775944,High School
15648,BNC06,3,8.660364,8.813988,High School
15683,BNC06,3,12.96868,9.328588,High School
15721,BNC06,3,17.45898,9.702575,High School
15739,BNC06,3,22.19789,10.21573,High School
15774,BNC06,3,27.01164,10.74451,High School
15807,BNC06,3,31.79432,11.28645,High School
15839,BNC06,3,36.58822,11.78107,High School
15871,BNC06,3,41.34446,12.24982,High School
15906,BNC06,3,46.13121,12.68978,High School
15941,BNC06,3,50.98751,13.07531,High School
15977,BNC06,3,55.86358,13.46562,High School
16060,BNC06,3,60.60394,13.95875,High School
16099,BNC06,3,62.7872,18.08835,High School
16134,BNC06,3,64.67039,22.56898,High School
16170,BNC06,3,66.09517,27.15693,High School
16206,BNC06,3,67.20709,31.92607,High School
16241,BNC06,3,67.95625,36.78365,High School
16279,BNC06,3,68.13488,41.71178,High School
16313,BNC06,3,67.76785,46.64444,High School
16349,BNC06,3,67.00074,51.3407,High School
16388,BNC06,3,66.25378,55.19085,High School
16487,BNC06,3,65.98848,57.59413,High School
61782,BNC10,1,0.0,-4.1,High School
62409,BNC10,1,3.711099,-4.977657,High School
62459,BNC10,1,3.036927,0.762421,High School
62516,BNC10,1,2.217035,6.671717,High School
62574,BNC10,1,1.418915,12.80542,High School
62625,BNC10,1,0.6001622,19.10313,High School
62675,BNC10,1,0.009669064,25.47219,High School
62731,BNC10,1,-0.3747273,31.83974,High School
63537,BNC10,1,-0.7850522,38.27387,High School
63951,BNC10,1,4.114294,38.68963,High School
64019,BNC10,1,-1.653622,39.69864,High School
64196,BNC10,1,-7.690095,40.68047,High School
64329,BNC10,1,-13.26785,41.21559,High School
64449,BNC10,1,-18.95928,41.41632,High School
64686,BNC10,1,-24.27535,41.39666,High School
65396,BNC10,1,-29.40959,41.12436,High School
65965,BNC10,1,-31.02646,35.83569,High School
66040,BNC10,1,-32.90212,31.23967,High School
66111,BNC10,1,-34.53401,26.10629,High School
66158,BNC10,1,-35.88242,20.61473,High School
66289,BNC10,1,-37.01883,15.48443,High School
66469,BNC10,1,-42.40985,14.25947,High School
66559,BNC10,1,-43.46957,9.089971,High School
66724,BNC10,1,-40.75556,5.275846,High School
66797,BNC10,1,-39.95725,-0.3120505,High School
66936,BNC10,1,-39.20123,-5.691992,High School
67531,BNC10,1,-38.72929,-11.14249,High School
67587,BNC10,1,-38.34705,-16.57215,High School
67730,BNC10,1,-38.28885,-22.58653,High School
67780,BNC10,1,-37.5533,-28.19118,High School
67837,BNC10,1,-37.22875,-34.50883,High School
67885,BNC10,1,-36.8494,-40.76369,High School
67931,BNC10,1,-36.21852,-47.08414,High School
68087,BNC10,1,-35.90308,-53.2637,High School
68217,BNC10,1,-30.18596,-54.01347,High School
68423,BNC10,1,-24.41984,-54.25523,High School
68491,BNC10,1,-18.92033,-54.19445,High School
68536,BNC10,1,-13.26186,-54.0514,High School
68590,BNC10,1,-7.35653,-53.86473,High School
69663,BNC10,1,-1.512161,-53.85587,High School
69732,BNC10,1,3.536555,-53.89428,High School
69776,BNC10,1,9.055923,-53.77789,High School
69810,BNC10,1,14.72627,-53.72778,High School
70130,BNC10,1,20.29475,-53.67729,High School
70505,BNC10,1,24.3024,-52.73696,High School
70631,BNC10,1,26.26749,-47.20074,High School
70726,BNC10,1,27.44016,-41.61233,High School
70787,BNC10,1,28.71023,-35.82638,High School
